"Z tym Comarch będzie jeszcze tak, że sami będziecie się prosić, żeby tam pracować. Jak załamie się gospodarka światowa, przyjdzie kryzys to korporacje jak szybko przyszły do Polski, tak szybko uciekną. Pierwsze oznaki już widać. Paradoksalnie ci co pracują w korpo pierwsi odczują skutki kryzysu. W sensie, że pierwsi stracą pracę. Praca w korporacji uważana jest za pewną, stabilną. Prawda jest taka, że jest najmniej bezpieczna pod względem stabilność. Dodać trzeba, że rozwijana jest sztuczna inteligencja co sama będzie tworzyć crudy itd. Sztuczna inteligencja, automatyka, robotyka tworzona jest i rozwijana, żeby zastąpić ludzi. Eldorado się skończy w najmniej oczekiwanym momencie. Niektórzy się jeszcze zdziwią. I to ci  są bardzo pewni siebie.;"
"Najwyżej wrócimy (w przypadku niektórych: pójdziemy) na studia. Przecież Pan Profesor wyraźnie powiedział, że każdego programistę można zastąpić skończoną liczbą studentów, więc miejsc pracy można łatwo namnożyć :)  Dokładnie, w takim Sabre to już w ogóle wszyscy są na 100% przekonani, że nigdzie nie ma tak stabilnie, jak w korpo.  Ale wiesz, że podstawowe CRUDy można już teraz generować i bez sztucznej inteligencji? Co ma robić ta sztuczna inteligencja, tworzyć algorytm robienia inner joina? Zresztą to bardzo dobrze, klepanie CRUDa zwiększa zużycie kawy o połowę, bo trzeba jakoś nie zasnąć.  Eldorado się skończy, jak powstanie coś co zastąpi komputery i software w postaci znanej nam dzisiaj i trzeba się będzie przebranżawiać. W sumie to chętnie bym się nauczył korzystać np. z komputerów kwantowych, choć w tej chwili mój mały móżdżek jeszcze nie objął, co konkretnie mogę osiągnąć manipulując stanem kilku qubitów. Widziałem chyba nawet kiedyś jakieś przykłady, ale bez przełożenia na praktykę. Tak samo jak wraz z silnikiem spalinowym czy elektrycznym skończyło się eldorado dorożek i omnibusów, ale przy nowych zajęciach i tak trzeba było rąk do pracy.;"
"Poruszając się w potocznym znaczeniu słów ""Programista"" to pojęcie szerokie niemal jak ""informatyk"". Przecież dla rodziny jesteśmy informatykami a nie programistami czyli naprawiamy komputery umiemy zainstalować u cioci na tablecie Skype'a i zrobić Internet. Zawężając się jednak do podzbioru ""informatyków"" czyli samych programistów nadal pozostajemy w ogromnym zbiorze stanowisk, zakresów kompetencji czy zwyczajnie różnych charakterów i osobowości. Pośród tych wszystkich ""normalnych"" i ""dziwaków"" są programiści, których praca jest ważna, bardzo odpowiedzialna są wartościowi dla dużej grupy ludzi a czasem nawet dla całego społeczeństwa. Są też tacy, których istnienie uzasadnione jest jedynie zrealizowaniem nieznaczącego drobnego zlecenia, poza którym właściwie nie musieli by istnieć. Nawet gdyby zniknęli jak czarownik zamieniając się w parę to nikt by tego nie zauważył... Może osoba siedząca obok widząc to powiedziałaby Wow! Co z tego wynika a no nic -  są różni programiści i tyle. Sama inteligencja to nie jest magiczna moc pozwalająca robić rzeczy, których mniej inteligentni nie potrafią. Inteligencja nie jest synonimem mądrości, głupoty, doświadczenia ani posiadania wiedzy. Praktyka pokazuje, że podczas pracy programisty najważniejszą rolę odgrywają właśnie cechy t.j. (subiektywnie w kolejności od najważniejszej): wiedza, doświadczenie, mądrość ... Dodałbym jeszcze mało docenianą wśród umysłów ścisłych komunikatywność. Inteligencja to ostatnia rzecz, która jest nam potrzebna. Ta jednak bywa świetnym spoiwem między wymienionymi cechami jeśli posiadamy je już na wyższym niż przeciętny poziomie. To daje nam większe szanse na sukces, niestety osiągnięcie go nadal wymaga ogromnego nakładu pracy. Inteligencja idzie trochę w parze z intuicją i to jest moim zdaniem istota rzeczy. To taki łącznik między sposobem i skutkiem podejmowanych decyzji odrobinę rozróżniający osoby inteligentne od tych mniej inteligentnych. Ci pierwsi rzadziej się mylą a ich decyzje podejmowane na szybko lub w stresie[1] także w mniejszej ilości przypadków kończą się porażką. To przekłada się na lepszą skuteczność w działaniu i oszczędność czasu a to już bardzo dużo jeśli poprzeczkę stawiamy wysoko. Jeśli jednak nie planujemy kariery ""od zera do milionera"" to inteligencja może nam pomóc np. w tym, żeby w pracy mniej się męczyć albo wyrwać ładniejszego partnera/partnerkę (zawsze coś)... Generalnie cudów, laserów, matrixa i statków kosmicznych nie ma w żadnym przypadku:-) Nawet mało inteligentna osoba może programować. Będzie jej trudniej - prawdopodobnie będzie lubić zadania bardziej żmudne niż wymagające umiejętności dalekosiężnego projektowania i przewidywania zachowania systemu. Nadrobi to jednak skrupulatnością, czytelnością kodu być może będzie dobrze testować a to przyczyni się to tego, że program wychodzący spod jej ręki będzie dla użytkownika równie dobry jak ten napisany przez geniusza. Oczywiście jak ktoś jest leniwy, wyjątkowo tępy lub nie chce się uczyć to szans nie ma to jednak zasada w każdym zawodzie nie tylko programisty. @Spearhead napisał, że Ludzie z wysokim IQ zostają naukowcami lub milionerami, a nie programistami. ... Mogą ale nie muszą. Tak samo jak tępy, który też może zostać milionerem wykorzystując takie cechy jak komunikatywność, spostrzegawczość, pracowitość i upór w dążeniu do celu. Odnoszę zresztą wrażenie, że tak właśnie jest w większości przypadków. Bo do bogactwa prowadzi konsekwentność i pracowitość a nie inteligencja. Tych błyskotliwych inteligentnych co zrobili karierę znamy z amerykańskich filmów ale w rzeczywistości to są jednostki. Inteligencja może pomóc zostać najlepszym, może pomóc w zdobyciu wysokich zarobków niższym nakładem pracy niż u mniej inteligentnych ale nigdy nie zastąpi pozostałych niezbędnych do pracy w zawodzie cech i umiejętności. [1] - nie chcę tu wnikać w analizę odporności na stres więc załóżmy, że chodzi o osoby o podobnej odporności.;"
"Z tym się z Tobą zgadzam. Sztuczna inteligencja, automatyka, robotyka to wszystko jest rozwijane, żeby zastąpić ludzi techniką. Napisałeś, że kierowcy ciężarówek najpierw to odczują. Możesz rozwinąć temat ? Chodziło Ci o to, że tworzone są autonomiczne pojazdy ? Druga sprawa, że ciężarówki przerzuca się na kolej, żeby odciążyć drogi ?;"
"długo AI nie zastąpi programisty, poza tym człowiek jest tańszy w utrzymaniu :-) Coraz trudniej projektuje się procesory z uwagi na ograniczenia materiałów z jakich są robione, a takie AI przecież nie będzie chodzić na celeronie :-P w sumie to długa droga do stworzenia AI, na razie to tylko algorytmy ale i tak człowiek je wymyśla i implementuje :-);"
"@GutekSan: zestawienie ekowyborcze. Odejście od węgla to koniec Polskiej gospodarki - nie ma skutecznych metod, aby magazynowac energię słoneczną i z wiatraków, a gospodarka potrzebuje energii zawsze, a nie jak akurat świeci słońce. Jedyne co może nam zastąpić węgiel to atom; właśnie ile to mamy elektrowni atomowych?;"
"Nie jestem ani psychologiem ani socjologiem ale mam wrazenie, ze najwieksze niebezpieczeństwo w tych posunięciach jest to, że buduje sie w społeczeństwie przekaz, że to jest sprawiedliwe. Nikt sie nie skupia na tym czy te wszystkie nasze składki/podatki czy duze czy małe sa efektywnie wykorzystane. Armia urzędników, która nic nie produkuje i która można spokojnie zastąpić podpisem kwalifikowanym :) kosztuje sporo, pomysły rządu też. Posłuchajcie krąży po sieci wywiad z Romanem Kluską fajnie opisywał czym różni sie biznes teraz od tego kiedy on zakładał Optimusa. Teraz rząd chce nam ""dawać"", rataowac, pomagac, regulować, kontrolować itd. i tu jest pies pogrzebany. Umęczeni ludzie, ktorzy zawsze zarabiali blisko minimalnej krajowej albo wyjezdżali za granicę, albo klepali biedę. Nie czarujmy sie mało kto z tych osob zastanawial sie nad systemem dlaczego maja tak ciezko,  utarlo sie, ze tak musi byc bo kraj biedny bo to, bo tamto. Teraz rząd oferuje im jakies realne pieniadze, które realnie tylko redystrybuuje, ale że taka redystrybucja kosztuje to ktoś będzie musiał dołożyć wiecej. Juz byly pomysły testu przedsiebiorcy, aby wyciac ludzi z podatku liniowego 19% ale znalezli teraz sprytniejszy sposob. pare stowek uda sie im skubnac i jestem pewny, ze na tym sie nie skonczy :( Sam kiedys klepalem biede studia skonczylem w 2004 r. nie bylo latwo wszyscy na roku myslielismy, ze Pana Boga za nogi załapaliśmy az przyszlo prawdziwe zycie i pokazalo, że nie do konca tak bylo. dopiero w 2011r. udalo mi sie wrocic do branzy IT i powoli mozlonie zdobywalem doswiadczenie. Teraz tez ciagle sie musze rozwijac, ciagle pilnowac. Ale mam juz ogromny bagaz doswiadczen i jak to sie mowi expert to ten kto popelnil juz wszystkie mozliwe bledy :) ja jeszcze wszystkich nie odkrylem ale sporo juz ich mam za soba. Teraz widzę, ze dochodzenie do poziomu zarobkow IT wymaga wysilku i nie kazdemu sie udaje. Rzad dzieki nam dostaje sporo CIT, PIT, VAT ale i tak mu malo, a lud bedzie krzyczal ""daj daj"". Niestety ten rzad da bo nie daje ze swoich, a najgorsze co robi utrwala przekonanie, ze robi to sprawiedliwie.;"
"Tak, ale na innym etapie. Inteligencja służy do tego, by właściwie przetwarzać dane. A retro służy do tego by te dane uzyskać. Bez spojrzenia wstecz samą inteligencją nic nie wskórasz. A tak w ogóle to zapominacie o jednym: Inteligencja jest cechą rzadką i nie do końca przewidywalną, dlatego mądry biznes polega na tym by potrzebę inteligencji zastąpić procesami.;"
"Ogólnie to w tej firmie,  o której często piszę udało się w pewnym momencie prowadzić SCRUMa prawie by the book i nawet dużo patologii, takich jak pisałem udało się wyeliminować. I to był też moment, w którym zaczęliśmy tego SCRUma powoli olewać - najważniejsze to wyeliminowanie całego śmiecia - straty czasu na planowanie, retro (jaki nonsens), i daily stan dupy. Zrobiliśmy spotkania opcjonalne w większości (daily też). Z nazwy to tam został SCRUM, żeby nikt się nie czepiał.  Rozwalanie dużo czasu zajęło, ale SCRUM ma wbudowane opcje ułatwiające destrukcję (na szczęście). Np.: na każdym retro powtarzałem, że uważam, że retro jest stratą czasu.... - miałem nadzieję, że w końcu się ten postulat uda przepchnąć (rok ponad zajęło, ale się udało). Przy okazji wcale nie złośliwie bo, skoro ciągle narzekamy na to samo (!), to znaczy, że nie udaje nam się problemow rozwiązać i możemy z nimi żyć i po prostu oszczędzić sobie narzekania. (mam wrażenie, że norma w wiekszości zespołów). Przestaliśmy sie przejmować velocity. Nauczyliśmy się nie czekać na DEMO ... z demonstrowaniem. Lepiej pokzać coś zanim jest gotowe, puty jeszcze ludzie (potencjalnie użytkownicy) mają szanse coś zmienić. Ogólnie powstał jakis nowy proces, ale nie wiem czy jest sens opisywać, specyfika firmy jest taka, że dużo zespołów równoległych działało w tym samy  kodzie, albo  blisko niego i było dużo zależności. Zrobiliśmy sobie spotkania sync z innyi zespołami i tam chodziliśmy (jak ktoś miał potrzebę!). Np. jedno z takich spotkań/process  dokładnie zastąpiło retro - wpisywaliśmy po jednym/dwóch  największychy problemach z każdego zespołu (w zespole mieliśmy ścianke bólu gdzie każdy ad hoc mógł wpisać jak go coś wkurzyło) i jak się powtarzały (między zespołami) to szedł task do szefostwa - naprawcie nam firmę. A jak nie to się rozchodziliśmy (5 minut i po spotkaniu). Planingi się zmieniły tak, że po prostu programista z biznesem siadał (czasem na kilka godzin) przed spotkaniem i szacował z nimi jakies punkty na podstawie swojego doświadczenia. Potem na planowaniu mówił - jest takie zadanie i wg mnie tyle to zajmie bo to i to. Był czas, żeby zgłosić uwagi do tego planowania, czy np, o wszystkich problemach pamiętał, robiło to duża oszczędnośc czasu.  No i oczywiście koniec dramy z dyskusjami 3 czy 5. Każda wątpliwość przy niezbyt dużych różnicach to liczba większa i nie tracimy czasu na precyzyjne celowanie z szacunkami ( bo i po co). Udało mi się nawet ze dwa razy przemycić przy szacowaniu liczbę 4 i 10 jako estymatę (musiałem udawadniać, że takie liczby też istnieją... - ale jest zaskakująco prosty dowód tego). Wydaje mi się, że jeszcze ważniejsze od wypaczenia SCRUMa było wprowadzenie innych reguł, typu: nikt nie koduje taska sam dłużej niż dwa dni. Czyli jak ktoś przekisi  taska 2 dni to dostaje partnera do kodowania i następuje przekazanie taska, ewentualnie robią go dalej 2 osoby. Taki  bieda pair programming, ale realizował cel - o każdym większym tasku miały dogłębne pojęcie przynajmniej  2 osoby. Jeszcze było kilka innych myków, ale wszystko to związane ze specyfiką firmy i zadaniami (wiele zespołów, bardzo skomplikowana domena, rozwłóczona przez 120 serwisów, paranoiczne security  itd). Dlatego, wcale nie sprzedawałbym i nie polecał tego procesu gdzieś indziej. Najważniejsze wyszło nieźle - można było kodować. Prawie cały dzień. Jak przyszedłem do firmy to w zespole było 18 godzin spotkań na człowieka na tydzień.... Mieliśmy żarty o tym, że  już w następną  środę na przerwie pomiędzy 2 zebraniami uda nam się może odpalić Intlellij.  Były całe tygodnie gdzie odpalenie  IDE się nie udawało  - mega frustracja.;"
"W tej chwili mam ochotę powiedzieć: ""o, stary…"" :) W jaki temat wchodzimy. :)  Nie wiem, nie czytałem, coś mi się obiło o uszy. Szkoda trochę, ale cóż, zawsze są jakieś priorytety w wyborze lektur.  Polemizowałbym, że da się łapki zastąpić komentarzami, postami itd. Ale to wymaga pracy i raczej nie w kwestii ""ideologicznej"" (co ""lepsze"", co ""gorsze""), tylko emocjonalnej: przekonać wszystkich, że ma to tzw. sens. (Dla każdego coś innego może być sensowne…)  Zdefiniuj ""sztuczny"".;"
"Z moich obserwacji Hadoop jako stack (YARN + HDFS + Hive) to raczej jest dalej używany w większości w instytucjach finansowych (banki, ubezpieczenia, ...), ale bardziej z powodów prawnych niż technicznych. Tak przynajmniej wynika z dyskusji z ludźmi po meetupach. I jeśli Hadoop, to rzadko jako samo utrzymywalny stack, a częściej jako dystrybucja Cloudera Hortonworks. Ku precyzji, to co napiszę, to wynik mojej obserwacji rynku francuskiego, a przez ""obserwuję"" mam na myśli oferty o pracę, konferencje, blogi. Jeśli chodzi o szerzej rozumiane Big Data (chociaż wolę termin data engineering), to firmy skłaniają się w stronę cloudowych rozwiązań. Dlaczego?  koszty devops - trudno znaleźć devopsów, a tych dobrych jeszcze trudniej. Minimalizuje się więc koszty infrastruktury w projektach. scaling - to, że dzisiaj potrzebujesz 10 node'ów, żeby przetworzyć 1TB nie znaczy, że jutro jak będziesz miał 2TB, to łatwo dodasz sobie 10 kolejnych. W chmurze takie dylematy są o wiele mniej poważne - istnieją, bo nie możesz sobie w nieskończoność dodawać node'ów, tworzyć 2 tysięcy klastry itd, bo na wszystko prawie są limity, ale skalowalność jest o wiele bardziej elastyczna ludzie - mało kogo dzisiaj bawi praca w stylu ""kurcze, mam 10% miejsca na dysku, musimy dodać nową maszynę - piszę ticket do IT, IT kupuje serwer, a ja przez 5 dni biję się z myślami, jak grać z danymi, żeby ich nie stracić"" (karykatura, ale coś w tym jest)  Oczywiście, nie umniejszam znajomości Hadoop. Sam od tego zaczynałem i się cieszę, bo można znaleźć wiele odpowiedników w serwisach chmurowych, a część z nich jest nawet implementowana (np. EMR w AWS). Ale nie samym Hadoopem człowiek żyje i tak:  MapReduce - nie widziałem, żeby ktoś tego dzisiaj wymagał. Spark z OS, trochę mniej Flink, a z cloudowych to Dataflow i Databricks (serverlessowe rozwiązania) YARN - Kubernetes wydaje się go wygryzać do wysyłania jobów na cluster - nie mylić ze schedulingiem Oozie - Airflow jest o wiele bardziej elastyczny, przypomina coś w rodzaju Infrastructure As Code, nawet jeśli chodzi tylko o joby, które schedulujesz Hive - z moich obserwacji jeden z ostatnich bastionów Hadoopa, który jako tako jest na rynku wymagany HDFS - zastąpiony przez tańsze w utrzymaniu serwisy do przechowywania obiektów (S3, GCS) HBase - BigTable, DynamoDB, łatwo skalowalne, DynamoDB oferuje nawet możliwość streamingu zapisywanych danych streaming broker - jeśli mnie pamięć nie myli, nie istnieje w stacku Hadoopa  Reasumując, Hadoop jako narzędzie do pierwszej pracy - nie. Raczej radziłbym opanować serwisy data jednego z chmurowych dostawców (GCP wydaje się zyskiwać na popularnośći, ostatnio nawet Twitter na niego przeszedł (https://cloud.google.com/twitter/). A co do OS rozwiązań, to:  Kafka do streamingu Spark do przetwarzania danych Kubernetes do wykonywania programów (resurce manager) i później jakieś bazy NoSQL, co kto woli, ja zaczynałem od Cassandry (łatwiej zrozumieć DynamoDB), Elasticsearch (do dokumentów i wyszukiwarki). Pracowałem też z Neo4J, ale akurat ciężko się go skalowało nieśmiertelny SQL - ignorowałem go przez długi czas, ale po jednym projekcie typowo ETL-owym, bazującym na SQL, przekonałem się jakie możliwości oferuje Python i Scala jeśli piszez w Javie - subiektywne odczucie, ale te 2 języki dzisiaj są najczęściej przypisywane do przetwarzania danych  Jeśli jesteś ciekawy info o tych technologiach, to bloguję o nich, i o przetwarzaniu danych, na https;//www.waitingforcode.com . No i to tyle :);"
"Myślę, że kierowcy tirów również nie są w stanie wyobrazić sobie zastąpienie przez maszynę, a kiedyś się to stanie. Wyobraź sobie sytuację (w mniej lub bardziej odległej przyszłości), gdzie powstanie zupełnie nowy język specjalnie dla AI (taki assembler dla AI). Sytuację, w której analityk powie jakie dane chce przetwarzać i co chce z nich uzyskać i zobaczy wynik bez czytania kawałka kodu, bo zwyczajnie nie będzie w stanie go interpretować. Wiem, że tu już płynę w futurologię, ale w tej branży dekada może zmienić wszystko i nie czuj się tym zaskoczony.;"
"Podoba mi się jak referencjami można opisać przyszłość różnych sfer naszego życia. Tak swoją drogą to skłaniałbym się ku temu, że prędzej zastąpią kobietę niż mężczyznę. Prosta matematyka będzie taniej wyprodukować jedną komórkę, która na 99 % zostanie zapłodniona czy kilka ml spermy z milionami komórek, których prawdopodobieństwo zapłodnienia jest nawet mniejsze niż 1/n.;"
"Na pewno **nie **za kilka lat xD ale w odległej przyszłości - 5-30 lat może to być możliwe, niestety.  Taka duża rozpiętość, bo nie jest wiadome na jakim obecnie etapie jest Google/Microsoft. Coraz więcej wychodzi prognoz na ten temat, nie tylko na głupkowatych polskich portalach, ale również na nieco poważniejszych anglojęzycznych portalach, jakby coś wisiało w powietrzu... w każdym razie temat jest gorący. Jak na razie, tworzone są narzędzia, które znacznie ułatwiają/automatyzują pracę programisty, takie jak np. Developer Assistant (dla C#), które korzystają z rozmaitych algorytmów wyszukiwania rozwiązań z Git'a. Nawet po stworzeniu jakiegoś wielkiego narzędzia przez znane korpo to zawód programisty nie ""wyginie"", ale może znacznie zmniejszyć się zapotrzebowanie, jak i zarobki - tak, że będzie to nieopłacalne... tylko co wtedy stanie się ze wszystkimi programistami ? pewnie niektórzy załapią się na jakieś koło-informatyczne stanowiska pracy, a niektórzy wrócą na jakieś studia magisterskie. Natomiast studenci informatyki poczują się oszukani... ale równie dobrze może być tak, że nawet w przeciągu 50 lat praca programisty nie zostanie zautomatyzowana do takiego stopnia. Byłoby śmieszne gdyby programiści zostali szybciej wyparci przez maszynę niż kasjerzy... bo jak na ironie, wiele ludzi woli jak ktoś za nich kasuje ich zakupy - darmowa obsługa. Natomiast dla firm byłaby to ogromna oszczędność, gdyby programistów dałoby się zastąpić jakimś inteligentnym narzędziem, tak że z kilkudziesięciu/kilkuset koderów zostało by w danej firmie 2-5 programistów.;"
"Ale tutaj w artykule pisze jasno, że Google pracuje nad sztuczną inteligencją, która zastąpi klepaczy kodu, a nie programistów xD;"
"To źle? Mniej klepaczy to lepszy rozwój branży IT i raczej wątpię w teorię ""mniejszych zarobów"". Maszyny zastąpią programistów w ostatniej kolejności na tym świecie ;);"
"Kazdy kto mial chociaz odrobine kontaktu z ai wie ze to jest na takim poziomie ze male sa szanse na zastapienie programistow w bliskim czasie. Trzeba patrzec na to racjonalnie, spadek zarobkow bedzie spowodowany naplywem coraz wiekszej ilosci programistow(informatyka to najpopularniejszy teraz kierunek), oraz przenoszeniem outsourceingu na wschod gdzie pracuje sie za 1/3 tego co u nas a jakosc uslug jest taka sama. To ludzie rozwala ten zawod a nie jakies wydumane sztuczne i inteligencje.;"
"obejrzałem zajawkę   i wydaje mi się, że to narzędzie (podobnie jak np. Kite) to rozwiązywanie złego problemu, nawet jeśli w dobry sposób (tj. te narzędzia rozwiązują problem typu nie chce mi się samemu wyszukać w Google ogólnodostępnych informacji na temat przykładów użycia frameworków a powinny moim zdaniem skupiać się na rozwiązaniu problemów typu nie wiem jak połączyć ze sobą dwa moduły z firmowego frameworka, do którego jest zero dokumentacji, jego kod to syf, a kolega, który go pisał, juz tu nie pracuje. Bo w pierwszym przypadku (nie chce mi się wyszukać czegoś w internecie) to wydaje się, że jest to minimalna oszczędność czasu (bo ile zajmuje wyszukanie czegoś w internecie? Raczej nie wiele...), natomiast rozwiązanie problemu drugiego (jak sprawnie poruszać się w legacy kodzie) mogłoby być naprawdę killer ficzerem, jeśli ktoś coś takiego by zrobił. Wydaje mi się, że to narzędzie Microsoftu prędzej jest konkurencją dla wyszukiwarki Google'a (jeśli chodzi o szukanie dokumentacji, przykładów użycia frameworków itp.), a nie czymś, co zastąpi programistów (prędzej ich ogłupi, bo metoda pracy kopiuj-wklej będzie jeszcze łatwiejsza niż była dotychczas, skoro z poziomu IDE będzie można znaleźć kod do wklejenia).;"
"Jestem w stanie sobie wyobrazić, że powstanie jakieś rozwiązanie Enterprise, które zastąpi pisarzy crudów i formatek (zarówno front, jak i backendowych). Tyle tylko, że powstanie inna nisza, do której będzie się spokojnie można przesiąść. Co do AI to raczej bym się nie martwił, w tej chwili to po prostu kolejne fajne hasełko w stylu ""robimy Big Data/jesteśmy Agile/korzystamy z AI"" które trafiło do mediów. Pamiętam, jak w jednej dużej firmie wprowadzono chat-bota, który miał rozwiązywać ponad połowę zgłoszeń z pierwszej linii. Bardzo fajna prezentacja pokazywała, jak świetnie bot sobie radzi z odczytem nastroju ludzkiego (cztery możliwe parametry), jak świetnie się uczy i jak dobrze dobiera odpowiedzi. Wynik tej operacji jest raczej łatwy do przewidzenia, tzn. skończyło się totalną porażką, bot nic nie umie poza przekierowywaniem ludzi zgłaszających do ludzkiej pierwszej linii. Szef projektu twierdzi, że bot się jeszcze musi uczyć, całe korpo już zdążyło zapomnieć o sprawie.;"
Witam! Czy zawód programista jest jeszcze opłacalny?? Podobno mają zawód ten zastąpić roboty..;
"@Berylo: Powiem tak, nie wyobrażam sobie być programistą wiele lat, tak sie po prostu nie da, ponieważ wiem, że młodsze pokoleni zrobi to lepiej i Ci programiści co sa obecnie stną się mniej wydajni lub zastąpi nas sztuczna inteligencja. Kiedyś myslałem, że trzeba dążyć do pieniedzy jednak jak widzę jak ludzie i znajomi się zabijaja dla pieniedzy, tracą zdrowie, czas spedzony z rodziną itd to coraz bardziej jestem przekonany, że trzeba to równomiernie rozgraniczyć, mniej stresu, może mniejsze zarobki ale wydaje mi sie ze szcześliwsze życie z rodziną (którą zamierzam założyć). Jeżeli chodzi o to 100zł/MD to tyle to jestem w stanie wynegocjować w obecnej firmie, co do auta to posiaadm już fajne auto za około 90-100k i mam gdzie mieszkać w domu, w tym lub pryszłym roku planuje kupic mieszkanie zeby ulokowac pieniadze. Mam też innte małe biznesiki z których czerpie troche kasy ale to nie jest nic związane z IT tylko z tym co uwielbiam robić poza pracą. W tym tyg musze podjąc decyzje czy przejśc do nowej firmy i sie katować dojazdami, spotkaniami, statystykami, i mając nad głowa inne osoby w zamian za kase która będzie rosła czy zostać, wynegocjować trochę wyższą stawke a miec spokojną, dobrze płatną prace i żyć szczęślwie....;"
"Jeśli chcesz naprawdę zrozumieć jak działają sieci neuronowe to nauka matematyki Cię nie ominie. Bez tego nie zrozumiesz takich pojęć jak np. BIAS. Tak naprawdę rozumiejąc matematykę sieci neuronowych dojdziesz do wniosku, że to tak naprawdę żadna inteligencja. Serio, serio. Podczas ""uczenia się"" neuronu bardzo dużo zależy od zastosowania odpowiednich funkcji matematycznych. Inteligencja i prawdziwa nauka polega na tworzeniu się nowych połączeń pomiędzy neuronami w mózgu, a tego sztuczna inteligencja nie potrafi robić. Co do artykułów to nawet tutaj, na forum coś jest: Sztuczne sieci neuronowe i algorytmy genetyczne No i jest jeszcze to, z kodem: http://www.if.uz.zgora.pl/~mdudek/siecineuronowe.pdf Książki są w komentarzach do tego artykułu. W ogóle poszukaj sobie informacji o tym jak zbudować pojedynczy neuron i sterować jego nauką, przykładając odpowiednie funkcje matematyczne. Kod w tym drugim linku wydaje się odrobinę przekombinowany.;"
"Będzie jeszcze ciekawiej jak Biden nie przeżyje całej kadencji i zastąpi go Harris :D Zostaje popcorn i kanapa. Jedyny minus, że dolar będzie spadał, no ale jakoś przeboleję.;"
"Nigdzie nie napisałem, że kogokolwiek o cokolwiek winię. Poza tym chyba nie myślisz że majątek zgromadzony jakieś 100 lat temu w rękach białych tak sam z siebie się rozpłynął i że ma marginalny wpływ na obecną sytuację.  Domagasz się ode mnie naukowego potwierdzenia tez, których nie stawiam. Nigdzie nie stwierdziłem że każdy biały ma jakiś wymierny zysk. Stwierdzam tylko, że czarni nie mieli takich możliwości budowania majątku przez pokolenia jak biali.  Rety, ciągle dzielisz włos na czworo, domagasz się konkretnego określenia kto ile zarobił na niewolnictwie a kto nie. Nie da się tego dziś dokładnie określić, ani nawet określić dobrze co oznacza zarobić na niewolnictwie. Dałem ci przykład, jak te pieniądze krążyły, tego że ""brudne"" pieniądze mogły potem napędzać ""czyste"" interesy. Faktem jest tylko to, że nawet po zniesieniu niewolnictwa majątek pozostawał w rękach białych, historyczne wydarzenia, takie jak wojny światowe czy rozwój przemysłu dawał przewagę w pomnażaniu majątku tym, którzy już ten majątek posiadali. To jakby przy stole do pokera siedzieli czarni i biali, niby każdy dostawał losowe karty, ale czarni nie dostawali asów i króli, a do tego mieli wielokrotnie mniej żetonów niż biali. I teraz gdy biali wygrywają to zaprzeczasz ich uprzywilejowanej pozycji, bo przecież w poprzednim rozdaniu biały John dostał tylko 4 i 7.   https://scholarship.law.upenn.edu/cgi/viewcontent.cgi?article=2283&context=faculty_scholarship Tyle, że wiem, że nie po to domagasz się linków, żeby je przeczytać i zapoznać się z tematem, tylko po to że uważasz że brak twardych wyliczeń wykaże, że biali takich przywilejów nie mieli. Nie, nie wykaże. Efekt procesów historycznych trudno oszacować dokładnymi wyliczeniami i nie na tym analiza historyczna polega. Równie dobrze mogę domagać się od ciebie opisu procesów, które pozwoliłyby czarnym zbudować w wielopokoleniowy majątek w Stanach, albo zdobywać przez nich edukację na równi z białymi.  https://www.researchgate.net/publication/323627869_A_STUDY_ON_THE_GLASS_CEILING_EFFECT_ON_WOMEN_AT_WORKPLACE  To oznacza, że mogą być, a może ich już nie być. Nie wypowiadam się ile ich jest obecnie. 0 samochodów to też mniej niż ileś. Jeśli tak czepiasz się słówek, zastąp sobie ""Przywilejów jest coraz mniej"" zdaniem ""Przywilejów obserwuje się coraz mnie"".  Ale ja nie popełniłem żadnego błędu. Stwierdzam fakt, że przywilejów białych jest mniej niż było kiedyś. Niezależnie od tego czy biali mają wciąż przywileje czy nie, to zdanie jest prawdziwe. Polecam wrócić do lekcji logiki.;"
Pozostało nam tylko czekanie aż AI całkowicie nas zastąpi ;__; O żegnaj piękny zawodzie programisty!;
"A propos zastąpienia zawodu przez AI. Często jako argument dostaję link do: https://willrobotstakemyjob.com/15-1131-computer-programmers Szkoda, że ludzie mylą to z (jak już wyciągają takie głupie argumenty ;) ): https://willrobotstakemyjob.com/15-1132-software-developers-applications;"
